species,herbarium,collectnum,sinus,ovary,sinusovaryratio
sanguinea,ASU ..58,Jon P. Rebman 2056,0.794,0.351,2.262108262
sanguinea,ASU ..60,Morrison & Popolizio 1816,1.056,0.577,1.830155979
sanguinea,ASU ..60,Morrison & Popolizio 1816,0.904,0.656,1.37804878
sanguinea,ASU ..62,J. McCleary ASU0053381,0.39,0.237,1.64556962
sanguinea,ASU ..62,J. McCleary ASU0053381,0.538,0.264,2.037878788
sanguinea,ASU ..62,J. McCleary ASU0053381,0.399,0.249,1.602409639
sanguinea,ASU ..63,Harry Tate 373,1.109,0.613,1.8091354
sanguinea,ASU ..63,Harry Tate 373,1.167,0.79,1.47721519
sanguinea,ASU ..63,Harry Tate 373,1.052,0.528,1.992424242
sanguinea,ASU ..64,T.F. Daniel 2769,1.508,0.556,2.712230216
sanguinea,ASU ..64,T.F. Daniel 2769,1.084,0.507,2.138067061
sanguinea,ASU ..64,T.F. Daniel 2769,1.02,0.532,1.917293233
sanguinea,ASU ..67,Dixie Damrel 45 ,0.894,0.358,2.497206704
sanguinea,ASU ..67,Dixie Damrel 45 ,1.354,0.632,2.142405063
sanguinea,ASU ..67,Dixie Damrel 45 ,0.852,0.452,1.884955752
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.681,0.301,2.262458472
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.658,0.353,1.864022663
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.726,0.393,1.847328244
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.148,0.555,2.068468468
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.174,0.641,1.831513261
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.058,0.65,1.627692308
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.466,0.236,1.974576271
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.44,0.226,1.946902655
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.392,0.222,1.765765766
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.606,0.249,2.43373494
