species,herbarium,collectnum,branchlength
sanguinea,ASU ..58,Jon P. Rebman 2056,3.925
sanguinea,ASU ..58,Jon P. Rebman 2056,2.377
sanguinea,ASU ..58,Jon P. Rebman 2056,2.024
sanguinea,ASU ..58,Jon P. Rebman 2056,5.866
sanguinea,ASU ..58,Jon P. Rebman 2056,4.085
sanguinea,ASU ..58,Jon P. Rebman 2056,2.571
sanguinea,ASU ..62,J. McCleary ASU0053381,7.76
sanguinea,ASU ..62,J. McCleary ASU0053381,3.281
sanguinea,ASU ..62,J. McCleary ASU0053381,2.676
sanguinea,ASU ..63,Harry Tate 373,8.086
sanguinea,ASU ..63,Harry Tate 373,5.646
sanguinea,ASU ..63,Harry Tate 373,4.675
sanguinea,ASU ..64,T.F. Daniel 2769,7.346
sanguinea,ASU ..64,T.F. Daniel 2769,2.262
sanguinea,ASU ..64,T.F. Daniel 2769,1.889
sanguinea,ASU ..67,Dixie Damrel 45 ,4.106
sanguinea,ASU ..67,Dixie Damrel 45 ,2.009
sanguinea,ASU ..67,Dixie Damrel 45 ,0.91
sanguinea,ASU ..68,Bruce D. Parfitt 4227,1.315
sanguinea,ASU ..68,Bruce D. Parfitt 4227,1.074
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.981
sanguinea,CAS ..43,T.R. Van Devender 98-345,3.666
sanguinea,CAS ..43,T.R. Van Devender 98-345,2.51
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.506
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,2.394
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,1.603
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.681
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,3.725
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,1.107
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,1.232
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,1.677
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,2.885
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,1.931
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,3.461
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,1.948
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.668
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,7.812
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,4.115
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,2.029
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,2.726
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,1.064
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,1.335
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,2.876
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,0.776
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,0.593
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,2.28
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,2.443
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,1.733
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,3.198
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,2.875
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,1.463
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,1.241
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.537
sanguinea,MICH Mexico ..49,Stephen S. White 3678,2.578
sanguinea,MICH Mexico ..49,Stephen S. White 3678,1.151
sanguinea,MICH Mexico ..50,Stephen S. White 4734,3.334
sanguinea,MICH Mexico ..50,Stephen S. White 4734,1.131
sanguinea,MICH Mexico ..52,Stephen S. White 4305,2.291
sanguinea,MICH Mexico ..52,Stephen S. White 4305,2.674
sanguinea,MICH Mexico ..52,Stephen S. White 4305,1.573
sanguinea,MICH Mexico ..53,Stephen S. White 3287,1.175
sanguinea,MICH Mexico ..53,Stephen S. White 3287,1.025
sanguinea,MICH Mexico ..53,Stephen S. White 3287,1.369
sanguinea,MICH Mexico ..54,Stephen S. White 2712,2.523
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.357
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.672
mexicana,ARIZ,Hinton et al. 24880,6.366
mexicana,ARIZ,Hinton et al. 24880,4.917
mexicana,ARIZ,Hinton et al. 24880,4.522
mexicana,ARIZ,Hinton et al. 24880,8.884
mexicana,ARIZ,Hinton et al. 24880,4.702
mexicana,ARIZ,Hinton et al. 24880,4.77
mexicana,ASU ..20,Medrano 17523,3.256
mexicana,ASU ..20,Medrano 17523,2.298
mexicana,ASU ..20,Medrano 17523,1.533
mexicana,ASU ..23,Reveal 3541,4.852
mexicana,ASU ..23,Reveal 3541,4.201
mexicana,ASU ..23,Reveal 3541,3.397
mexicana,MEXU ..65,Schaffner 71,3.086
mexicana,MEXU ..65,Schaffner 71,2.531
mexicana,MEXU ..65,Schaffner 71,2.309
mexicana,MEXU ..66,Pringle 10232,7.646
mexicana,MEXU ..66,Pringle 10232,6.324
mexicana,MEXU ..66,Pringle 10232,4.265
mexicana,MEXU ..09,Tenorio 9576,2.027
mexicana,MEXU ..09,Tenorio 9576,2.484
mexicana,MEXU ..09,Tenorio 9576,2.089
mexicana,MEXU ..10,Vega 1937,8.293
mexicana,MEXU ..10,Vega 1937,6.197
mexicana,MEXU ..10,Vega 1937,5.751
mexicana,MEXU ..12,Ventura 859,2.126
mexicana,MEXU ..12,Ventura 859,1.353
mexicana,MEXU ..12,Ventura 859,1.683
mexicana,MEXU ..14,Benitez 2630,0.822
mexicana,MEXU ..14,Benitez 2630,1.136
mexicana,MEXU ..14,Benitez 2630,0.812
mexicana,MEXU ..17,Gentry 2715,4.848
mexicana,MEXU ..17,Gentry 2715,3.555
mexicana,MEXU ..17,Gentry 2715,3.542
lakelae,MEXU ..99,Ginzbarg 134,0.976
lakelae,MEXU ..99,Ginzbarg 134,0.957
lakelae,MEXU ..99,Ginzbarg 134,0.726
lakelae,MO Mexico ..43,Ginzbarg 134,0.743
lakelae,MO Mexico ..43,Ginzbarg 134,0.702
lakelae,MO Mexico ..43,Ginzbarg 134,0.751
lakelae,NY Mexico ..24,Ginzbarg 134,1.675
lakelae,NY Mexico ..24,Ginzbarg 134,1.809
lakelae,NY Mexico ..24,Ginzbarg 134,1.217
lakelae,TEX ..66,McDonald 1470,0.794
lakelae,TEX ..66,McDonald 1470,0.888
lakelae,TEX ..66,McDonald 1470,0.614
folkii,TEX ..68,McDonald 1521,0.729
folkii,TEX ..68,McDonald 1521,1.087
