species,herbarium,collectnum,flowerlength
sanguinea,ASU ..58,Jon P. Rebman 2056,1.178
sanguinea,ASU ..60,Morrison & Popolizio 1816,1.743
sanguinea,ASU ..60,Morrison & Popolizio 1816,1.578
sanguinea,ASU ..60,Morrison & Popolizio 1816,1.279
sanguinea,ASU ..62,J. McCleary ASU0053381,0.84
sanguinea,ASU ..62,J. McCleary ASU0053381,0.817
sanguinea,ASU ..62,J. McCleary ASU0053381,0.772
sanguinea,ASU ..63,Harry Tate 373,1.38
sanguinea,ASU ..63,Harry Tate 373,1.56
sanguinea,ASU ..63,Harry Tate 373,1.513
sanguinea,ASU ..64,T.F. Daniel 2769,1.832
sanguinea,ASU ..64,T.F. Daniel 2769,1.799
sanguinea,ASU ..64,T.F. Daniel 2769,1.757
sanguinea,ASU ..67,Dixie Damrel 45 ,1.188
sanguinea,ASU ..67,Dixie Damrel 45 ,1.751
sanguinea,ASU ..67,Dixie Damrel 45 ,1.399
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.979
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.89
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.796
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.527
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.639
sanguinea,CAS ..43,T.R. Van Devender 98-345,1.634
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.748
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.794
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.649
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.908
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.957
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.896
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0.725
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0.695
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0.599
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.692
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.723
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.608
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,0.848
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,0.861
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,1.042
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,1.01
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,1.011
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,0.989
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,1.641
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,1.732
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,1.603
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,0.707
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,0.627
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,0.653
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,0.737
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,0.592
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,0.724
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.719
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.807
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.634
sanguinea,MICH Mexico ..49,Stephen S. White 3678,0.774
sanguinea,MICH Mexico ..49,Stephen S. White 3678,0.709
sanguinea,MICH Mexico ..49,Stephen S. White 3678,0.845
sanguinea,MICH Mexico ..50,Stephen S. White 4734,1.336
sanguinea,MICH Mexico ..50,Stephen S. White 4734,1.488
sanguinea,MICH Mexico ..50,Stephen S. White 4734,1.222
sanguinea,MICH Mexico ..52,Stephen S. White 4305,0.906
sanguinea,MICH Mexico ..52,Stephen S. White 4305,0.844
sanguinea,MICH Mexico ..52,Stephen S. White 4305,0.875
sanguinea,MICH Mexico ..53,Stephen S. White 3287,0.777
sanguinea,MICH Mexico ..53,Stephen S. White 3287,0.785
sanguinea,MICH Mexico ..53,Stephen S. White 3287,0.717
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.805
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.725
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.836
mexicana,ARIZ ..05,Hinton et al. 24880,0.931
mexicana,ARIZ ..05,Hinton et al. 24880,0.836
mexicana,ARIZ ..05,Hinton et al. 24880,0.873
mexicana,ARIZ ..05,Hinton et al. 24880,0.877
mexicana,ARIZ ..05,Hinton et al. 24880,0.839
mexicana,ARIZ ..05,Hinton et al. 24880,0.807
mexicana,ARIZ ..05,Hinton et al. 24880,0.705
mexicana,ARIZ ..05,Hinton et al. 24880,0.882
mexicana,ARIZ ..05,Hinton et al. 24880,0.76
mexicana,ARIZ ..05,Hinton et al. 24880,0.783
mexicana,ARIZ ..05,Hinton et al. 24880,0.718
mexicana,ARIZ ..05,Hinton et al. 24880,0.775
mexicana,ARIZ ..05,Hinton et al. 24880,0.785
mexicana,ARIZ ..05,Hinton et al. 24880,0.715
mexicana,ARIZ ..05,Hinton et al. 24880,0.723
mexicana,ARIZ ..05,Hinton et al. 24880,0.806
mexicana,ARIZ ..05,Hinton et al. 24880,0.845
mexicana,ARIZ ..05,Hinton et al. 24880,0.885
mexicana,ARIZ ..05,Hinton et al. 24880,0.761
mexicana,ARIZ ..05,Hinton et al. 24880,0.776
mexicana,ARIZ ..05,Hinton et al. 24880,0.662
mexicana,ARIZ ..05,Hinton et al. 24880,0.733
mexicana,ARIZ ..05,Hinton et al. 24880,0.778
mexicana,ARIZ ..05,Hinton et al. 24880,0.782
mexicana,ARIZ ..05,Hinton et al. 24880,0.821
mexicana,ARIZ ..05,Hinton et al. 24880,0.684
mexicana,ARIZ ..05,Hinton et al. 24880,0.646
mexicana,ASU ..20,Medrano 17523,0.451
mexicana,ASU ..20,Medrano 17523,0.394
mexicana,ASU ..20,Medrano 17523,0.434
mexicana,ASU ..23,Reveal 3541,0.55
mexicana,ASU ..23,Reveal 3541,0.592
mexicana,ASU ..23,Reveal 3541,0.56
mexicana,MEXU ..65,Schaffner 71,0.417
mexicana,MEXU ..65,Schaffner 71,0.367
mexicana,MEXU ..65,Schaffner 71,0.399
mexicana,MEXU ..66,Pringle 10232,0.75
mexicana,MEXU ..66,Pringle 10232,0.795
mexicana,MEXU ..66,Pringle 10232,0.734
mexicana,MEXU ..09,Tenorio 9576,0.562
mexicana,MEXU ..09,Tenorio 9576,0.597
mexicana,MEXU ..09,Tenorio 9576,0.643
mexicana,MEXU ..10,Vega 1937,0.884
mexicana,MEXU ..10,Vega 1937,0.818
mexicana,MEXU ..10,Vega 1937,0.954
mexicana,MEXU ..12,Ventura 859,0.406
mexicana,MEXU ..12,Ventura 859,0.442
mexicana,MEXU ..12,Ventura 859,0.318
mexicana,MEXU ..14,Benitez 2630,0.519
mexicana,MEXU ..14,Benitez 2630,0.616
mexicana,MEXU ..14,Benitez 2630,0.62
mexicana,MEXU ..17,Gentry 2715,0.619
mexicana,MEXU ..17,Gentry 2715,0.598
mexicana,MEXU ..17,Gentry 2715,0.547
