species,herbarium,collectnum,pedicellength
sanguinea,ASU ..58,Jon P. Rebman 2056,0.69
sanguinea,ASU ..60,Morrison & Popolizio 1816,0.461
sanguinea,ASU ..62,J. McCleary ASU0053381,0.451
sanguinea,ASU ..62,J. McCleary ASU0053381,0.617
sanguinea,ASU ..62,J. McCleary ASU0053381,0.518
sanguinea,ASU ..63,Harry Tate 373,0.63
sanguinea,ASU ..63,Harry Tate 373,1.536
sanguinea,ASU ..63,Harry Tate 373,0.732
sanguinea,ASU ..64,T.F. Daniel 2769,0.384
sanguinea,ASU ..64,T.F. Daniel 2769,0.603
sanguinea,ASU ..64,T.F. Daniel 2769,0.413
sanguinea,ASU ..67,Dixie Damrel 45 ,0.814
sanguinea,ASU ..67,Dixie Damrel 45 ,0.31
sanguinea,ASU ..67,Dixie Damrel 45 ,0.681
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.173
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.244
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0.134
sanguinea,CAS ..43,T.R. Van Devender 98-345,0.459
sanguinea,CAS ..43,T.R. Van Devender 98-345,0.712
sanguinea,CAS ..43,T.R. Van Devender 98-345,0.669
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.167
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.17
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0.247
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.292
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.236
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0.191
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0.282
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0.229
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0.562
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.267
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.372
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0.293
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,0.362
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,0.392
sanguinea,MEXU ..66 (OSU?),C. G. Pringle 1588 ,0.328
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,0.283
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,0.246
sanguinea,MEXU ..67 (OSU?),W. Trauba 212-98,0.264
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,0.307
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,0.536
sanguinea,MEXU ..75 (OSU?),Stephen S. White 2712,0.551
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,0.156
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,0.434
sanguinea,MEXU ..77 (OSU?),P. Tenorio 1888,0.533
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,0.304
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,0.342
sanguinea,MEXU ..79 (OSU?),P. Tenorio 1799,0.12
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.132
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.235
sanguinea,MEXU ..80 (OSU?),Agustin Flores M. 5038,0.153
sanguinea,MICH Mexico ..49,Stephen S. White 3678,0.295
sanguinea,MICH Mexico ..49,Stephen S. White 3678,0.224
sanguinea,MICH Mexico ..49,Stephen S. White 3678,0.204
sanguinea,MICH Mexico ..50,Stephen S. White 4734,0.371
sanguinea,MICH Mexico ..50,Stephen S. White 4734,0.6
sanguinea,MICH Mexico ..50,Stephen S. White 4734,0.488
sanguinea,MICH Mexico ..52,Stephen S. White 4305,0.349
sanguinea,MICH Mexico ..52,Stephen S. White 4305,0.235
sanguinea,MICH Mexico ..52,Stephen S. White 4305,0.458
sanguinea,MICH Mexico ..53,Stephen S. White 3287,0.229
sanguinea,MICH Mexico ..53,Stephen S. White 3287,0.719
sanguinea,MICH Mexico ..53,Stephen S. White 3287,0.808
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.421
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.211
sanguinea,MICH Mexico ..54,Stephen S. White 2712,0.259
mexicana,ARIZ ..05,Hinton et al. 24880,1.071
mexicana,ARIZ ..05,Hinton et al. 24880,1.618
mexicana,ARIZ ..05,Hinton et al. 24880,1.103
mexicana,ARIZ ..05,Hinton et al. 24880,1.818
mexicana,ARIZ ..05,Hinton et al. 24880,1.493
mexicana,ARIZ ..05,Hinton et al. 24880,1.112
mexicana,ARIZ ..05,Hinton et al. 24880,1.077
mexicana,ARIZ ..05,Hinton et al. 24880,1.02
mexicana,ARIZ ..05,Hinton et al. 24880,0.745
mexicana,ARIZ ..05,Hinton et al. 24880,0.875
mexicana,ARIZ ..05,Hinton et al. 24880,0.841
mexicana,ARIZ ..05,Hinton et al. 24880,0.898
mexicana,ARIZ ..05,Hinton et al. 24880,0.854
mexicana,ARIZ ..05,Hinton et al. 24880,1
mexicana,ARIZ ..05,Hinton et al. 24880,0.896
mexicana,ARIZ ..05,Hinton et al. 24880,0.936
mexicana,ARIZ ..05,Hinton et al. 24880,0.936
mexicana,ARIZ ..05,Hinton et al. 24880,0.941
mexicana,ARIZ ..05,Hinton et al. 24880,0.72
mexicana,ARIZ ..05,Hinton et al. 24880,0.868
mexicana,ARIZ ..05,Hinton et al. 24880,0.86
