species,herbarium,collectnum,petalexsertion
sanguinea,ASU ..58,Jon P. Rebman 2056,0
sanguinea,ASU ..60,Morrison & Popolizio 1816,0
sanguinea,ASU ..60,Morrison & Popolizio 1816,0
sanguinea,ASU ..60,Morrison & Popolizio 1816,0
sanguinea,ASU ..62,J. McCleary ASU0053381,0
sanguinea,ASU ..62,J. McCleary ASU0053381,0
sanguinea,ASU ..62,J. McCleary ASU0053381,0
sanguinea,ASU ..63,Harry Tate 373,0
sanguinea,ASU ..63,Harry Tate 373,0
sanguinea,ASU ..63,Harry Tate 373,0
sanguinea,ASU ..64,T.F. Daniel 2769,0
sanguinea,ASU ..64,T.F. Daniel 2769,0
sanguinea,ASU ..64,T.F. Daniel 2769,0
sanguinea,ASU ..67,Dixie Damrel 45 ,0
sanguinea,ASU ..67,Dixie Damrel 45 ,0
sanguinea,ASU ..67,Dixie Damrel 45 ,0
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0
sanguinea,ASU ..68,Bruce D. Parfitt 4227,0
sanguinea,CAS ..43,T.R. Van Devender 98-345,0
sanguinea,CAS ..43,T.R. Van Devender 98-345,0
sanguinea,CAS ..43,T.R. Van Devender 98-345,0
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0
sanguinea,CAS ..44 ,Edgar A. Mearns 1751,0
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0
sanguinea,F MEXICO ..05 (OSU?),Paul C. Standley 1955,0
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0
sanguinea,MEXU ..58 (OSU?),Robert Bye 15604,0
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0
sanguinea,MEXU ..62 (OSU?),Erv Wilson 8514,0
